x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
2.88,0.88,0.234355369,0.217898111,0.192010264,0.158840887,0.121092277,0.081753994,0.043813416,0.644263744,0.924196908,1.049764319
2.90,0.90,0.196726329,0.187097857,0.171678738,0.151365346,0.127323954,0.10091023,0.073576602,0.555502924,0.834192224,1.008679056
2.92,0.92,0.158320899,0.153346957,0.145265408,0.134378963,0.121092277,0.105893925,0.089334784,0.456933264,0.712404504,0.907633212
2.94,0.94,0.11929065,0.117177684,0.113705977,0.108949056,0.103007243,0.096005132,0.088088456,0.350174312,0.56213061,0.746224198
2.96,0.96,0.079789615,0.07916045,0.078118456,0.076673479,0.074839143,0.072632704,0.070074852,0.237068521,0.388581142,0.531288698
2.98,0.98,0.039973686,0.039894807,0.03976355,0.039580225,0.039345266,0.039059228,0.038722788,0.119632044,0.198557534,0.27633955
3.00,1.00,2.33986E-16,2.33986E-16,2.33986E-16,2.33986E-16,6.86332E-16,2.33986E-16,-8.91178E-17,7.01958E-16,1.62228E-15,1.76714E-15
3.00,-1.00,2.33986E-16,2.33986E-16,2.33986E-16,2.33986E-16,6.86332E-16,2.33986E-16,-8.91178E-17,7.01958E-16,1.62228E-15,1.76714E-15
3.02,-0.98,-0.039973686,-0.039894807,-0.03976355,-0.039580225,-0.039345266,-0.039059228,-0.038722788,-0.119632044,-0.198557534,-0.27633955
3.04,-0.96,-0.079789615,-0.07916045,-0.078118456,-0.076673479,-0.074839143,-0.072632704,-0.070074852,-0.237068521,-0.388581142,-0.531288698
3.06,-0.94,-0.11929065,-0.117177684,-0.113705977,-0.108949056,-0.103007243,-0.096005132,-0.088088456,-0.350174312,-0.56213061,-0.746224198
3.08,-0.92,-0.158320899,-0.153346957,-0.145265408,-0.134378963,-0.121092277,-0.105893925,-0.089334784,-0.456933264,-0.712404504,-0.907633212
3.10,-0.90,-0.196726329,-0.187097857,-0.171678738,-0.151365346,-0.127323954,-0.10091023,-0.073576602,-0.555502924,-0.834192224,-1.008679056
3.12,-0.88,-0.234355369,-0.217898111,-0.192010264,-0.158840887,-0.121092277,-0.081753994,-0.043813416,-0.644263744,-0.924196908,-1.049764319
3.14,-0.86,-0.271059516,-0.245261983,-0.205539731,-0.156335871,-0.103007243,-0.051115652,-0.005710527,-0.721861229,-0.981204343,-1.038030522
3.16,-0.84,-0.306693914,-0.268757926,-0.21178785,-0.144007698,-0.074839143,-0.013298269,0.033479338,-0.78723969,-1.006086531,-0.985905461
3.18,-0.82,-0.341117932,-0.288015396,-0.210533278,-0.122630991,-0.039345266,0.026386817,0.066296549,-0.839666607,-1.001642864,-0.908959498
3.20,-0.80,-0.374195714,-0.302730691,-0.201820461,-0.093548928,-2.49585E-16,0.062365952,0.086494483,-0.878746866,-0.972295794,-0.823435359
3.22,-0.78,-0.405796715,-0.312671743,-0.185958053,-0.058588842,0.039345266,0.089585975,0.090228548,-0.904426511,-0.923670088,-0.743855565
3.24,-0.76,-0.435796223,-0.317681774,-0.163507988,-0.019947404,0.074839143,0.104223914,0.076787979,-0.916985985,-0.862094246,-0.681082353
